category,rank,asin,name,title,rating,reviews,symbol,value,image,link,date,origin
Amazon Renewed,#15,B085RY6Z1C,HP-Prodesk-Business-WLAN-standaard-Refurbished,HP Prodesk 600 G1 DM Business PC Ultra Slim Intel Core i5 4590T 8 GB RAM 500 GB HDD 24 maanden WLAN-standaard (Refurbished),"4,2 van 5 sterren",518,€ ,"141,99","https://images-eu.ssl-images-amazon.com/images/I/711-oFfQunL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/HP-Prodesk-Business-WLAN-standaard-Refurbished/dp/B085RY6Z1C/ref=zg_bs_g_amazon-renewed_d_sccl_15/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#16,B0BZSL5T9Q,Sonnics-Desktop-Surveillance-Systeem-Refurbished,Sonnics 1 TB 3.5 inch SATA Harde Schijf 7200 RPM Desktop PC/Surveillance Opslag Harde Schijf CCTV Camera CCTV Systeem DVR (Refurbished),"3,8 van 5 sterren",180,€ ,"24,14","https://images-eu.ssl-images-amazon.com/images/I/61s18NB+TPL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Sonnics-Desktop-Surveillance-Systeem-Refurbished/dp/B0BZSL5T9Q/ref=zg_bs_g_amazon-renewed_d_sccl_16/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#17,B08BN8VD23,GIGABYTE-B550M-AORUS-ELITE-Motherboard,GIGABYTE B550M AORUS ELITE mATX Motherboard for AMD AM4 CPUs,"4,6 van 5 sterren",2.940,€ ,"94,90","https://images-eu.ssl-images-amazon.com/images/I/81QyMksmunL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/GIGABYTE-B550M-AORUS-ELITE-Motherboard/dp/B08BN8VD23/ref=zg_bs_g_amazon-renewed_d_sccl_17/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#18,B0C2ZL1C4Q,Microsoft-Surface-Go-128GB-Refurbished,"Microsoft Surface Go 2 - Core M3, 8GB RAM, 128GB SSD ( Refurbished)","3,5 van 5 sterren",47,€ ,"236,89","https://images-eu.ssl-images-amazon.com/images/I/61n8wEzM2YL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Microsoft-Surface-Go-128GB-Refurbished/dp/B0C2ZL1C4Q/ref=zg_bs_g_amazon-renewed_d_sccl_18/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#19,B0CJYBNGF5,HGST-Ultrastar-7200Rpm-HUH721212ALE601-Refurbished,"HGST Ultrastar HE12 12TB HDD SATA 6Gb/s 512E TCG 7200Rpm HUH721212ALE601 24x7 8,9cm 3,5 inch bulk (Refurbished)","4,6 van 5 sterren",7,€ ,"129,90","https://images-eu.ssl-images-amazon.com/images/I/71U-GYrokhL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/HGST-Ultrastar-7200Rpm-HUH721212ALE601-Refurbished/dp/B0CJYBNGF5/ref=zg_bs_g_amazon-renewed_d_sccl_19/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#20,B084WLXWXD,Seagate-IronWolf-NAS-systemen-werkbelasting-Refurbished,"Seagate IronWolf 12 TB interne harde schijf van 3,5 inch (7200 rpm) voor NAS-systemen met 1-8 bay (256 MB cache, 180 TB/jaar werkbelasting, tot 210 MB/s) (Refurbished)","4,5 van 5 sterren",26,€ ,"149,90","https://images-eu.ssl-images-amazon.com/images/I/71XV4XnDV-L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Seagate-IronWolf-NAS-systemen-werkbelasting-Refurbished/dp/B084WLXWXD/ref=zg_bs_g_amazon-renewed_d_sccl_20/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#22,B09H73MCCP,Dell-Optiplex-Desktop-i5-6400T-gereviseerd,"Dell Optiplex 7040 Desktop Mini Intel Core i5-6400T, 8GB DDR4 RAM, 240 GB SSD, USB 3.0, HDMI, Windows 10 Pro (gereviseerd)","4,0 van 5 sterren",115,€ ,"127,00","https://images-eu.ssl-images-amazon.com/images/I/61XYOiTWWJL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Dell-Optiplex-Desktop-i5-6400T-gereviseerd/dp/B09H73MCCP/ref=zg_bs_g_amazon-renewed_d_sccl_22/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#23,B08BLRH22B,Dell-drievoudig-dockingstation-4K-beeldschermen-gerenoveerd,"Dell D6000 USB-C drievoudig dockingstation, tot drie 4K-beeldschermen via USB-C, UHD 5K (gerenoveerd)","4,1 van 5 sterren",105,€ ,"119,99","https://images-eu.ssl-images-amazon.com/images/I/31EWXvdwX6L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Dell-drievoudig-dockingstation-4K-beeldschermen-gerenoveerd/dp/B08BLRH22B/ref=zg_bs_g_amazon-renewed_d_sccl_23/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#24,B0CRBJK29D,IronWolf-ST4000NE001-interne-schijf-Refurbished,"IronWolf Pro ST4000NE001 interne harde schijf 3.5"" 4000 GB SATA III (Refurbished)","2,6 van 5 sterren",2,€ ,"78,90","https://images-eu.ssl-images-amazon.com/images/I/61CZnVwKRFL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/IronWolf-ST4000NE001-interne-schijf-Refurbished/dp/B0CRBJK29D/ref=zg_bs_g_amazon-renewed_d_sccl_24/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#25,B08PCDBHFF,Apple-iPhone-12-mini-64,Apple iPhone 12 mini (64 GB) - Wit (Renewed),"3,9 van 5 sterren",342,€ ,"278,99","https://images-eu.ssl-images-amazon.com/images/I/71tT8J5cKuL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-iPhone-12-mini-64/dp/B08PCDBHFF/ref=zg_bs_g_amazon-renewed_d_sccl_25/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#26,B0C8J9SVNT,Garmin-Smartwatch-batterijduur-Ingebouwde-Gereviseerd,"Garmin Instinct 2X Solar, Smartwatch, Oneindige batterijduur met Solar, Ingebouwde zaklamp, Multi-band GNSS, Whitestone (Gereviseerd)","3,8 van 5 sterren",11,€ ,"271,73","https://images-eu.ssl-images-amazon.com/images/I/71Amnc5UjaL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Garmin-Smartwatch-batterijduur-Ingebouwde-Gereviseerd/dp/B0C8J9SVNT/ref=zg_bs_g_amazon-renewed_d_sccl_26/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#27,B0B5Y53NBW,Apple-MacBook-256GB-QWERTY-Englishe,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) (QWERTY Englishe US) - Silver (Refurbished)","5,0 van 5 sterren",1,€ ,"763,00","https://images-eu.ssl-images-amazon.com/images/I/51kPCRaPw4L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-MacBook-256GB-QWERTY-Englishe/dp/B0B5Y53NBW/ref=zg_bs_g_amazon-renewed_d_sccl_27/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#28,B07VB5HWV2,Apple-MacBook-Pro-Inc-2017,Apple MacBook Pro 13 Inc. 2017 - 2.3GHz i5 - 8GB RAM - 256GB SSD - (MPXU2LL/A - 2017) - QWERTY - Zilver - (Refurbished),"3,8 van 5 sterren",339,€ ,"579,00","https://images-eu.ssl-images-amazon.com/images/I/51sZYIhFmPL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-MacBook-Pro-Inc-2017/dp/B07VB5HWV2/ref=zg_bs_g_amazon-renewed_d_sccl_28/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#29,B0BGFL1W1N,Apple-iPhone-64GB-PRODUCT-Refurbished,"Apple iPhone SE 3e Gen 64GB, (PRODUCT)RED (Refurbished)","4,3 van 5 sterren",26,€ ,"255,90","https://images-eu.ssl-images-amazon.com/images/I/61A0Zu4K-TL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-iPhone-64GB-PRODUCT-Refurbished/dp/B0BGFL1W1N/ref=zg_bs_g_amazon-renewed_d_sccl_29/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon Renewed,#30,B08PCGL5TH,Apple-iPhone-128GB-Zwart-Refurbished,"Apple iPhone 12, 128GB, Zwart (Refurbished)","3,8 van 5 sterren",6.778,€ ,"344,99","https://images-eu.ssl-images-amazon.com/images/I/71fVoqRC0wL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Apple-iPhone-128GB-Zwart-Refurbished/dp/B08PCGL5TH/ref=zg_bs_g_amazon-renewed_d_sccl_30/260-3771106-3350406?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#1,B09TMF6742,nieuwe-Kindle-Paperwhite-16-instelbaar,"De nieuwe Kindle Paperwhite (16 GB): nu met een 6,8-inch display en instelbaar warm licht","4,6 van 5 sterren",348,€ ,"169,99","https://images-eu.ssl-images-amazon.com/images/I/613xNdu+mnL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/nieuwe-Kindle-Paperwhite-16-instelbaar/dp/B09TMF6742/ref=zg_bs_g_amazon-devices_d_sccl_1/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#2,B098J3NXBZ,Stick-Internationale-versie-Remote-HD-streamingapparaat,Fire TV Stick Internationale versie met Alexa Voice Remote | HD-streamingapparaat,"4,2 van 5 sterren",535,€ ,"44,99","https://images-eu.ssl-images-amazon.com/images/I/8173IOlHjhL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Stick-Internationale-versie-Remote-HD-streamingapparaat/dp/B098J3NXBZ/ref=zg_bs_g_amazon-devices_d_sccl_2/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#3,B0BW28NVFL,fire-tv-stick-4k-max,Nieuwe Amazon Fire TV Stick 4K Max - Streamingapparaat met Ambient Experience en Wi-Fi 6E-ondersteuning (Internationale versie),"3,7 van 5 sterren",5,€ ,"79,99","https://images-eu.ssl-images-amazon.com/images/I/41c8X0qCcyL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/fire-tv-stick-4k-max/dp/B0BW28NVFL/ref=zg_bs_g_amazon-devices_d_sccl_3/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#4,B09L45TSYF,ring-chime,"Ring Chime, wit","4,6 van 5 sterren",14.678,€ ,"35,99","https://images-eu.ssl-images-amazon.com/images/I/51AtKK7M3vL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-chime/dp/B09L45TSYF/ref=zg_bs_g_amazon-devices_d_sccl_4/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#5,B0931VRJT5,ring-video-doorbell,"Ring Videodeurbel op batterij (Video Doorbell 2de generatie) | 1080p HD-video, geavanceerde bewegingsdetectie, en eenvoudige installatie | Ring Protect-proefperiode (30 dagen gratis)","4,3 van 5 sterren",4.236,€ ,"99,99","https://images-eu.ssl-images-amazon.com/images/I/51Nt0u7zFNL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-video-doorbell/dp/B0931VRJT5/ref=zg_bs_g_amazon-devices_d_sccl_5/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#6,B09B8X9RGM,amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-charcoal,"Amazon Echo Dot (5e generatie, 2022 release | Imposant geluid | Smartspeaker met wifi, bluetooth en Alexa (spreekt Nederlands) | Antraciet","4,5 van 5 sterren",2,€ ,"64,99","https://images-eu.ssl-images-amazon.com/images/I/71C3lbbeLsL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-charcoal/dp/B09B8X9RGM/ref=zg_bs_g_amazon-devices_d_sccl_6/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#7,B0BZWS9K81,ring-videodeurbel-op-batterij-battery-video-doorbell-zelf-te-installeren-draadloze-videodeurbelcamera-met-zicht-van-top-tot-teen-hd-video-eenvoudig-te-installeren-5min,"Nieuwe Ring-videodeurbel op batterij (Battery Video Doorbell) | Zelf te installeren draadloze videodeurbelcamera met zicht van top tot teen, HD-video | Eenvoudig te installeren (5min)","3,8 van 5 sterren",4,€ ,"99,99","https://images-eu.ssl-images-amazon.com/images/I/61ylTwdbQ4L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-videodeurbel-op-batterij-battery-video-doorbell-zelf-te-installeren-draadloze-videodeurbelcamera-met-zicht-van-top-tot-teen-hd-video-eenvoudig-te-installeren-5min/dp/B0BZWS9K81/ref=zg_bs_g_amazon-devices_d_sccl_7/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#8,B09B8RF4PY,amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-blauw,"Amazon Echo Dot (5e generatie, 2022 release | Imposant geluid | Smartspeaker met wifi, bluetooth en Alexa (spreekt Nederlands) | Blauw","4,5 van 5 sterren",2,€ ,"64,99","https://images-eu.ssl-images-amazon.com/images/I/61j3SEUjMJL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-blauw/dp/B09B8RF4PY/ref=zg_bs_g_amazon-devices_d_sccl_8/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#9,B09B94956P,amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-wit,"Amazon Echo Dot (5e generatie, 2022 release | Imposant geluid | Smartspeaker met wifi, bluetooth en Alexa (spreekt Nederlands) | Wit","4,5 van 5 sterren",2,€ ,"64,99","https://images-eu.ssl-images-amazon.com/images/I/71YVBa7zc5L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/amazon-echo-dot-5e-generatie-2022-release-smartspeaker-met-wifi-bluetooth-en-alexa-wit/dp/B09B94956P/ref=zg_bs_g_amazon-devices_d_sccl_9/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#10,B08CK4PXN5,ring-oplaadstation-voor-ring-accu-met-snelle-koppeling,Ring oplaadstation voor Ring accu met snelle koppeling,"4,6 van 5 sterren",1.335,€ ,"29,99","https://images-eu.ssl-images-amazon.com/images/I/314hMqNsuwL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-oplaadstation-voor-ring-accu-met-snelle-koppeling/dp/B08CK4PXN5/ref=zg_bs_g_amazon-devices_d_sccl_10/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#11,B09NCR4274,stekkeradapter-van-ring-2de-generatie,Stekkeradapter van Ring (2de generatie),"4,6 van 5 sterren",7.012,€ ,"25,99","https://images-eu.ssl-images-amazon.com/images/I/21bSo8GSK+L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/stekkeradapter-van-ring-2de-generatie/dp/B09NCR4274/ref=zg_bs_g_amazon-devices_d_sccl_11/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#12,B0B6GKHS2S,ring-indoor-camera-2e-generatie-van-amazon-plug-in-camera,"Ring Indoor Camera (2e gen) van Amazon | huisdiercamera met stekker | 1080p HD, tweerichtingsspraak, privacykap, zelf te installeren | gratis 30 dagen Ring Protect op proef","4,2 van 5 sterren",27,€ ,"59,99","https://images-eu.ssl-images-amazon.com/images/I/51Zn5qjeppL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-indoor-camera-2e-generatie-van-amazon-plug-in-camera/dp/B0B6GKHS2S/ref=zg_bs_g_amazon-devices_d_sccl_12/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#13,B0C5QXCP7Z,ring-stick-up-cam-plug-in,"Ring Buitencamera op batterij (Stick Up Cam) | HD-beveiligingscamera met tweeweg-audio, doe-het-zelf-installatie | Ring Protect-proefperiode (30 dagen gratis)","4,5 van 5 sterren",2.325,€ ,"99,99","https://images-eu.ssl-images-amazon.com/images/I/51sShKp34IL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/ring-stick-up-cam-plug-in/dp/B0C5QXCP7Z/ref=zg_bs_g_amazon-devices_d_sccl_13/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#14,B08SG47DLB,Blink-Video-Doorbell-Module-tweerichtings-audio,Blink Video Doorbell + Sync Module 2: tweerichtings-audio; HD-video; bewegingssensor; eenvoudige installatie (wit) | Blink Abonnement gratis proefperiode,"3,3 van 5 sterren",59,€ ,"79,99","https://images-eu.ssl-images-amazon.com/images/I/41ha-KRL2IL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Blink-Video-Doorbell-Module-tweerichtings-audio/dp/B08SG47DLB/ref=zg_bs_g_amazon-devices_d_sccl_14/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#16,B08LR3G17D,Ring-geavanceerde-bewegingsdetectie-installatie-proefabonnement,"Ring Video Doorbell Wired van Amazon, met HD-video, geavanceerde bewegingsdetectie en bedrade installatie | Met een gratis proefabonnement van 30 dagen op Ring Protect Plan","4,3 van 5 sterren",87,€ ,"59,99","https://images-eu.ssl-images-amazon.com/images/I/51c34BXZoXL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Ring-geavanceerde-bewegingsdetectie-installatie-proefabonnement/dp/B08LR3G17D/ref=zg_bs_g_amazon-devices_d_sccl_16/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#17,B09RX3HZG8,echo-dot-with-clock,"Echo Dot (5e generatie, 2022-release) met klok | Internationale versie | Slimme luidspreker met klok en Alexa | Wit | Nederlandse taal niet beschikbaar","4,3 van 5 sterren",100,€ ,"74,99","https://images-eu.ssl-images-amazon.com/images/I/71bnkM5q8CL._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/echo-dot-with-clock/dp/B09RX3HZG8/ref=zg_bs_g_amazon-devices_d_sccl_17/258-7780806-5927761?psc=1,2024-09-13,best_sellers
Amazon-apparaten & accessoires,#19,B08XN8QWPS,Hoekbevestiging-voor-Blink-videodeurbel-Abonnement-proefperiode,Hoekbevestiging voor Blink-videodeurbel - zwart | Blink Abonnement gratis proefperiode van 30 dagen,"4,3 van 5 sterren",1.165,€ ,"7,99","https://images-eu.ssl-images-amazon.com/images/I/41XlrxKvN6L._AC_UL300_SR300,200_.jpg",https://www.amazon.nl/Hoekbevestiging-voor-Blink-videodeurbel-Abonnement-proefperiode/dp/B08XN8QWPS/ref=zg_bs_g_amazon-devices_d_sccl_19/258-7780806-5927761?psc=1,2024-09-13,best_sellers
